state,geolocation_lat,geolocation_lng,orders_count,revenue
AC,-9.88623275080077,-68.01061148190755,5795,843807.54
AL,-9.649321664469394,-35.79105185634618,30068,4815745.37
AM,-3.2757542213477584,-60.14040334112958,5164,731726.57
AP,0.02103164944298699,-51.11208503165005,4550,794547.79
BA,-13.173089186198066,-39.504299011180706,336949,44262082.04
CE,-4.187976190968023,-38.84180206594413,54593,7614073.75
DF,-15.813382542468842,-47.988603874433146,85464,10457629.24
ES,-20.225129455245195,-40.38491784920482,297297,34925501.08
GO,-16.677488057025307,-49.36685810747457,118875,14840183.58
MA,-3.378129964356572,-44.626408064969716,46369,7217253.03
MG,-19.833557074778053,-44.50042181007632,2674307,320995862.32
MS,-20.565453914686422,-54.345553394841865,54084,6992020.26
MT,-14.362295069381751,-55.62595200482157,105931,15599044.54
PA,-2.588980160673477,-49.19540293983556,71762,10365850.26
PB,-7.092547358132837,-35.41527810161413,23247,3523684.95
PE,-8.15006891247597,-35.461883083670024,103630,14409105.12
PI,-5.3673340567522825,-42.62811675419795,21337,3273723.91
PR,-24.916285711562153,-50.598816506742295,581112,68427854.56
RJ,-22.824283842588034,-43.14972577138847,2786081,336865937.42
RN,-5.858000930569613,-35.74304768822508,18344,2651693.31
RO,-9.838000003350805,-62.995680692280786,19156,2984498.06
RR,2.8242073017691927,-60.69608163537968,1612,231289.54
RS,-29.707087691650763,-51.97693425418835,740409,89231110.47
SC,-27.20985212606137,-49.482565406372736,490647,62110554.3
SE,-10.919475781673604,-37.14352195051535,21388,2986061.87
SP,-23.123461224845602,-47.06339823800461,5312915,574675824.4
TO,-9.938345708241258,-48.366826172625004,17153,2540832.46
